"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1990",7.59181881409584,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1991",8.36123165418618,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1992",9.1040695283418,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1993",10.0765092717015,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1994",8.22253078695608,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1995",7.21702108405263,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1996",6.76229327378578,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1997",5.59058321049648,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1998",5.20365286950174,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","1999",5.46374765258353,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2000",4.6117277151641,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2001",4.848785158487,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2002",4.91971212761558,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2003",5.80506560838698,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2004",5.89124832244806,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2005",5.14913699449132,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2006",4.16637046558603,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2007",4.05736424228601,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2008",3.73897090940858,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2009",6.52555770244159,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2010",7.88984326573984,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2011",7.92818416140788,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2012",7.99283154121864,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2013",7.57562076749436,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2014",7.11907119071191,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2015",6.44385026737968,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2016",6.14667604642983,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2017",5.98223615464995,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2018",5.26361279170268,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2019",5.13476629136813,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2020",5.76462538487855,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2021",5.15385267440875,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2022",4.52729693741678,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2023",5.03752048069291,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2024",5.81928423109198,
"DNK","UNEMPFORECAST","TOT","PC_LF","A","2025",5.84290887864731,
"FIN","UNEMPFORECAST","TOT","PC_LF","A","1960",1.3425991181032,
